Seccion;Titulos;Copete;URLS
Economia;El sector autopartista no escapa a la crisis y cayó en marzo un 12,7%;Preocupación en el sector;https://www.c5n.com/autos/el-sector-autopartista-no-escapa-la-crisis-y-cayo-marzo-un-127-n158249
Mundo;Manuel Vicent: “Estoy llegando al final del río”;De la canción que tocaba su padre al violín y marcó su vida a la muerte de su hijo Mauricio. El escritor publica su libro más autobiográfico;https://elpais.com/babelia/2024-05-18/manuel-vicent-estoy-llegando-al-final-del-rio.html
Mundo;Canarias, las islas en la encrucijada entre Europa, América y África;Una nueva exposición en el CAAM de Las Palmas conecta las obras de su colección con su proyecto fundador, que subrayó la tricontinentalidad propia del archipiélago;https://elpais.com/babelia/2024-05-18/canarias-las-islas-en-la-encrucijada-entre-europa-america-y-africa.html
Mundo;Las 20 exposiciones de arte más destacadas de mayo;Una selección de las muestras nacionales e internacionales más interesantes para visitar este mes, del pequeño museo más bello del mundo en Madrid al cuadro de Matisse que se adelantó a la abstracción;https://elpais.com/babelia/2024-05-18/las-20-exposiciones-de-arte-mas-destacadas-de-mayo.html
Policiales;Nueve años de prisión por grooming, abuso sexual y distribución de material de abuso sexual infantil;El hombre utilizaba como modus operandi el contacto con adolescentes a través de redes sociales. Ademas de la condena, se le ordenó realizar tratamiento psicológico por la naturaleza de los hechos.;https://www.eltribuno.com/policiales/2024-5-15-10-32-0-nueve-anos-de-prision-por-grooming-abuso-sexual-y-distribucion-de-material-de-abuso-sexual-infantil
Ciencia;Descubrieron un planeta del tamaño de la Tierra orbitando en una pequeña estrella;A solo 55 años luz, investigadores han identificado el Speculoos-3b, que desafía los límites de la astrofísica al completar un año en menos de un día terrestre;https://www.infobae.com/america/mundo/2024/05/15/putin-el-poder-y-la-fascinacion-por-el-mal-diez-definiciones-de-giuliano-da-empoli-autor-de-el-mago-del-kremlin/
Ciencia;Un estudio del Conicet con apoyo de la NASA avanza en la búsqueda de vida en otros planetas;Expertos de la Facultad de Ciencias Exactas y Naturales de la UBA obtuvieron financiamiento de la agencia estadounidense para investigar la posibilidad de la existencia de microorganismos en otros líquidos que no son agua. Las observaciones del telescopio James Webb completarán el trabajo en el laboratorio;https://www.infobae.com/deportes/2024/05/15/el-fin-del-var-en-la-premier-league-los-clubes-ingleses-votaran-para-definir-si-continua-el-videoarbitraje/
Ciencia;Qué son y cómo actúan los obesógenos, las sustancias químicas que engordan sin comer;Estos compuestos actúan alterando el metabolismo normal y el almacenamiento de grasa en el cuerpo;https://www.infobae.com/deportes/2024/05/15/el-video-de-la-furia-de-ederson-con-guardiola-y-la-caida-viral-de-pep-tras-la-atajada-que-puede-valer-el-titulo-para-el-city/
Ciencia;El matrimonio de astrónomos que estudia parejas de estrellas: “Sin ellas no entendemos la evolución estelar”;Ana Escorza y Michael Abdul-Masih, han recibido una beca para desarrollar sus proyectos sobre sistemas estelares en el Instituto de Astrofísica de Canarias;https://elpais.com/ciencia/2024-05-18/el-matrimonio-de-astronomos-que-estudia-parejas-de-estrellas-sin-ellas-no-entendemos-la-evolucion-estelar.html
Cultura;El “Passinho”, la danza brasileña creada por los jóvenes de las favelas, declarada patrimonio cultural;El baile, originado en las favelas de Río de Janeiro, recibió la distinción por “su valor artístico y social”. El estilo fue creado en la década de 2000 y mezcla funk brasileño con movimientos del break dance, la samba, la capoeira y el frevo, entre otros;https://www.infobae.com/america/mundo/2024/05/15/el-dramatico-testimonio-de-sapir-cohen-una-de-las-rehenes-de-hamas/
Cultura;40 años de la restauración de ‘Las meninas’: una limpieza marcada por la polémica que devolvió la luz al cuadro;Enrique Quintana, restaurador del Museo del Prado, recuerda aquellos días de 1984 en los que John Brealy trabajó sobre el que está considerado el icono de la pintura española, una de las obras más importantes de Velázquez;https://elpais.com/cultura/2024-05-18/40-anos-de-la-restauracion-de-las-meninas-una-limpieza-marcada-por-la-polemica-que-devolvio-la-luz-al-cuadro.html
Cultura;Cuando el conde Almásy visitó a Tutankamón;La publicación de su libro sobre el viaje que hizo en coche de Alejandría a Jartum en 1926 y una charla en Barcelona acerca de sus exploraciones del desierto líbico ponen otra vez en el candelero al personaje real de ‘El paciente inglés’;https://elpais.com/cultura/2024-05-18/cuando-el-conde-almasy-visito-a-tutankamon.html
Deportes;Juventud Antoniana cayó frente a Sol de América y se vuelve con las manos vacías;El Santo perdió por 1 a 0\xa0en tierras formoseñas tras el gol de Bruno Di Martino a los 23 minutos, consumando de esta manera la primera derrota del ciclo del DT interino Esteban Espeche.;https://www.eltribuno.com/deportes/2024-5-15-15-47-0-minuto-a-minuto-juventud-antoniana-ya-se-mide-con-sol-de-america-en-formosa
Deportes;Kevin Benavides, en una clínica privada y a la espera de su evolución tras el duro accidente que sufrió;"El\xa0equipo de prensa del piloto salteño emitió un comunicado en el cual se pidió cautela y respeto para su familia, porque\xa0""se trata de una situación delicada"".";https://www.eltribuno.com/deportes/2024-5-15-16-7-0-kevin-benavides-con-pronostico-reservado-tras-el-accidente-durante-su-entrenamiento
Deportes;Crece el proyecto de boxeo Forjando Campeones;"Varias exhibiciones de pugilato se hicieron en el barrio ""17 de Octubre"".";https://www.eltribuno.com/deportes/2024-5-14-22-45-0-crece-el-proyecto-de-boxeo-forjando-campeones
Deportes;El equipo de fútbol de talla baja se presenta en San Carlos;El conjunto dirigido por “Pepe” Módica participará en los festejos de los 100 años del club Libertad de esa localidad de los Valles Calchaquíes.;https://www.eltribuno.com/deportes/2024-5-14-22-36-0-el-equipo-de-futbol-de-talla-baja-se-presenta-en-san-carlos
Deportes;Exigente partido para Juventud en Formosa;El santo visita a Sol de América, a partir de las 15.15.;https://www.eltribuno.com/deportes/2024-5-14-22-20-0-exigente-partido-para-juventud-en-formosa
Deportes;Vuelve a partir de hoy el torneo más federal del fútbol salteño;Las ligas de fútbol de nuestra provincia empiezan a competir en la quinta edición de la Copa Salta 2024.;https://www.eltribuno.com/deportes/2024-5-14-22-14-0-vuelve-a-partir-de-hoy-el-torneo-mas-federal-del-futbol-salteno
Deportes;Central Norte juega un partido que exigirá un esfuerzo mayor;El cuervo recibe en el estadio Padre Martearena, desde las 21.15, a Sarmiento de La Banda (SdE), que marcha como líder en la posiciones de la zona 4 del torneo Federal A.;https://www.eltribuno.com/deportes/2024-5-14-22-11-0-central-norte-juega-un-partido-que-exigira-un-esfuerzo-mayor
Deportes;El fichaje “maldito” del Real Madrid que continúa dándole pérdidas después de su retiro;El conjunto español, que acaba de ganar la Liga de España, tiene la chance de obtener la Champions League. Pero, de lograrlo, tendrá que pagar un bono impensado;https://www.infobae.com/deportes/2024/05/15/el-fichaje-maldito-del-real-madrid-que-continua-dandole-perdidas-despues-de-su-retiro/
Deportes;La burla de dos figuras del Manchester City ante la fallida intimidación de los ultras del Arsenal en la recta final de la Premier League;Kyle Walker y Ederson se refirieron a los artilugios de los hinchas para buscar desconcentrarlos en la previa a la victoria ante Tottenham en Londres;https://www.infobae.com/autor/fiorella-ramirez/
Deportes;La verdadera razón por la que Yoreli Rincón no irá a los Juegos Olímpicos con la selección Colombia;Desde 2018, la jugadora al servicio de Atlético Nacional no volvió a ser llamada a la Tricolor;https://www.infobae.com/historias/2024/05/15/la-masacre-de-los-judios-hungaros-en-auschwitz-en-el-epilogo-de-la-guerra-1500-trenes-con-427-mil-victimas-en-solo-dos-meses/
Deportes;Jugó por lesión de sus compañeros, anotó un gol y se lo dedicó a su difunto padre: “Hoy haré un gol por ti”;La celebración del juvenil de Millonarios conmovió a los fanáticos del fútbol en Colombia;https://www.infobae.com/autor/daniel-cecchini/
Deportes;Impacto en la Premier League: los clubes realizarán una votación para eliminar el VAR la próxima temporada;Wolverhampton presentó una solicitud para quitar la herramienta tecnológica y se debatirá durante la asamblea de junio: necesita el apoyo de 14 clubes;https://www.infobae.com/america/america-latina/2024/05/15/lula-da-silva-destituyo-al-presidente-de-la-petrolera-estatal-brasilena-petrobras/
Deportes;El video de la furia de Ederson con Guardiola y la caída viral de Pep tras la atajada que puede valer el título para el City;Los citizens se impusieron al Tottenham en un partido que tuvo grandes emociones. El título se definirá en la última fecha;https://www.infobae.com/autor/wilmar-iglesias/
Deportes;Bellingham vuelve a volar en la goleada del Madrid al Alavés;El inglés recupera su versión más dañina tras el desgaste de la Champions y lanza al Real en una noche en la que Courtois recordó a su mejor versión;https://elpais.com/https://elpais.com/deportes/futbol/2024-05-14/bellingham-vuelve-a-volar-en-la-goleada-del-madrid-al-alaves.html
Deportes;A los 58 años murió el exarquero de la Selección argentina Fabián Cancelarich;El exdeportista sufrió un infarto durante una practica en Ferro, donde formaba parte del cuerpo técnico.;https://www.eltribuno.com//deportes/2024-5-14-22-18-0-a-los-58-anos-murio-el-exarquero-de-la-seleccion-argentina-fabian-cancelarich
Deportes;"""Deja mucho que desear"". El hombre fuerte del fútbol español impulsa la llegada de las SAD: ""El mundo va por un camino y la Argentina elige otro""";"El presidente de LaLiga de España considera que una apertura hacia la Sociedad Anónima Deportiva permitiría retener el talento joven que emigra a Europa; la marca de los clubes, por encima de los cracks";https://www.lanacion.com.ar/deportes/futbol/javier-tebas-por-que-la-organizacion-del-futbol-argentino-va-al-reves-del-mundo-y-la-salida-de-messi-nid15052024/
Deportes;TV del miércoles. Boca por la Sudamericana, Messi en el “Clásico del Sol”, argentinos en Europa y Masters 1000 de Roma;Fútbol internacional y exterior y tenis en la jornada de entresemana, como para seguir por televisión e internet;https://www.lanacion.com.ar/deportes/agenda-de-tv-del-miercoles-boca-por-la-sudamericana-messi-en-la-mls-y-masters-1000-de-roma-nid14052024/
Deportes;Escándalo en la Liga Argentina de básquet: la batalla campal entre Racing y Racing de Chivilcoy;Los jugadores de ambos planteles se tomaron a golpes de puño en el marco del Juego 3 de las semifinales de la Conferencia Sur;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/escandalo-en-la-liga-argentina-de-basquet-la-batalla-campal-entre-racing-y-racing-de-chivilcoy/
Deportes;Épico triunfo de Franco Colapinto en Imola con una maniobra magistral en la última vuelta: celebró su primera victoria en Fórmula 2;El piloto argentino quedó tercero tras una mala largada, pero se repuso y en el giro final terminó dando el golpe para quedarse con el primer lugar;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/epico-triunfo-de-franco-colapinto-en-imola-con-una-maniobra-magistral-en-la-ultima-vuelta-celebro-su-primera-victoria-en-formula-2/
Deportes;River Plate buscará prolongar su buen presente ante Belgrano en el Monumental, en vivo: hora, TV y formaciones;El Millonario intentará seguir en lo más alto de la Liga Profesional en su enfrentamiento ante el Pirata. Desde las 18, por TNT Sports;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/river-plate-buscara-prolongar-su-buen-presente-ante-belgrano-en-el-monumental-en-vivo-hora-tv-y-formaciones/
Deportes;Milan contactó a Lionel Scaloni y encendió las alarmas: “Estaría dispuesto a dejar la selección argentina”;El conjunto Rossonero se encuentra en la búsqueda de un sucesor para Stefano Pioli y pensó en el campeón del mundo en Qatar 2022;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/milan-contacto-a-lionel-scaloni-y-encendio-las-alarmas-estaria-dispuesto-a-dejar-la-seleccion-argentina/
Deportes;La figura de la selección argentina que está en la mira del Real Madrid y sacudiría el mercado de pases;Los españoles buscan dar un salto de calidad de cara a la próxima ventana de transferencias y pusieron sus ojos en un campeón del mundo en Qatar 2022;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/la-figura-de-la-seleccion-argentina-que-esta-en-la-mira-del-real-madrid-y-sacudiria-el-mercado-de-pases/
Deportes;Con Lionel Messi en duda, Inter Miami defenderá su liderazgo en la MLS frente a DC United: hora, TV y formaciones;El conjunto de Gerardo Martino se presentará ante su gente con la misión de sumar una nueva victoria y continuar en lo más alto de la Conferencia Este;https://www.infobae.com/ultimas-noticias//deportes/2024/05/18/con-lionel-messi-en-duda-inter-miami-defendera-su-liderazgo-en-la-mls-frente-a-dc-united-hora-tv-y-formaciones/
Deportes;El fútbol, más orden que aventura;Si bien la mecanización me resulta preocupante, insisto en que los entrenadores que mejor la interpretan alcanzan la excelencia;https://elpais.com/deportes/futbol/2024-05-18/el-futbol-mas-orden-que-aventura.html
