Seccion;Titulos;Copete;URLS
Nacionales;Trabajadores de la salud de clínicas y sanatorios realizarán quites de colaboración;La medida es con adhesión de ATSA Salta. Será del miércoles al viernes por turnos de 2, 3 y 4 horas. Se trata del sector que se desempeña en hospitales privados, clínicas, sanatorios, servicios de emergencias, entre otros. “Fuimos héroes en pandemia y hoy no tenemos ningún tipo de mejora salarial”, dijeron desde la Federación de Asociaciones de Trabajadores de la Sanidad Argentina.;https://www.eltribuno.com/salta/2024-5-20-15-40-0-trabajadores-de-la-salud-de-clinicas-y-sanatorios-realizaran-quites-de-colaboracion
Mundo;El conflicto con España recién comienza: Pedro Sánchez analiza llevar el caso a la UE;Luego de que Javier Milei ofendiera a la esposa del mandatario español.;https://www.eltribuno.com/internacionales/2024-5-20-17-2-0-el-conflicto-con-espana-recien-comienza-pedro-sanchez-analiza-llevar-el-caso-a-la-ue
Mundo;El helicóptero que transportaba al presidente de Irán sufrió un accidente y realizó un aterrizaje forzoso;Ocurrió en condiciones meteorológicas hostiles y los equipos de rescate no lograron acceder a la zona. No hay reportes del estado de los pasajeros. Iba acompañado por el ministro de Relaciones Exteriores y otras autoridades.;https://www.eltribuno.com/internacionales/2024-5-19-13-50-0-el-helicoptero-que-transportaba-al-presidente-de-iran-sufrio-un-accidente-y-realizo-un-aterrizaje-forzoso
Espectaculos;"""Yellowstone"": la última gran actuación de Kevin Costner en la pantalla chica";El legendario actor se destacó en la exitosa serie que se volvió un verdadero fenómeno televisivo contando hasta el momento con cinco temporadas.;
Tecnologia;"Elon Musk avisa: ""podría haber un 20% de posibilidades de que la IA destruya la humanidad""";El director de Tesla y X ha afirmado que existe hasta un 20% de posibilidades de que la IA destruya la humanidad, pero también ha declarado que los posibles beneficios compensan el riesgo.;https://www.eltribuno.com/tecnologia/2024-4-23-9-52-0-elon-musk-avisa-podria-haber-un-20-de-posibilidades-de-que-la-ia-destruya-la-humanidad
Deportes;El escándalo detrás de la ausencia de Benedetto en Santiago del Estero: la frase que enfureció a Diego Martínez y alejaría a Pipa de Boca;“Si fuera por él, no lo convoca más”. El DT habría tomado una firme decisión. Los detalles;https://www.infobae.com/deportes/2024/05/20/el-escandalo-detras-de-la-ausencia-de-benedetto-en-santiago-del-estero-la-frase-que-enfurecio-a-diego-martinez-y-alejaria-a-pipa-de-boca/
Espectaculos;Griselda Siciliani confirmó su romance con Luciano Castro: “Estamos rebien”;Al aire de A la tarde (América), la actriz rompió el silencio y aseguró, entre risas, que está en un vínculo amoroso con el actor. Fue horas antes de la función especial de Felicidades, la obra que encabeza junto a su expareja Adrián Suar. Los detalles;https://www.infobae.com/teleshow/2024/05/20/griselda-siciliani-confirmo-su-romance-con-luciano-castro-estamos-rebien/
Economia;El dólar libre escaló más de 5% en el día: los 4 motivos de la suba;La cotización avanzó 60 pesos o 5,4%, a $1.180 para la venta, un máximo desde el 1 de febrero;https://www.infobae.com/economia/2024/05/20/el-dolar-libre-escalo-mas-de-5-en-el-dia-los-4-motivos-de-la-suba/
Politica;Javier Milei viajará este sábado a Córdoba por el 25 de Mayo, pero no habrá pacto con los gobernadores ese día;La Oficina del Presidente emitirá este martes un comunicado informando cómo se llevará adelante el evento patrio, en el que finalmente no habrá un acuerdo con los mandatarios provinciales;https://www.infobae.com/politica/2024/05/20/javier-milei-viajara-este-sabado-a-cordoba-por-el-25-de-mayo-pero-no-habra-pacto-con-los-gobernadores/
Economia;El Banco Central compró USD 126 millones en el mercado pese al escaso monto operado;El ingreso de divisas apenas superó los USD 200 millones en la rueda mayorista, una cifra muy reducida en el contexto de la temporada alta de liquidaciones del agro;https://www.infobae.com/economia/2024/05/20/el-banco-central-compro-usd-126-millones-en-el-mercado-pese-al-escaso-monto-operado/
