Diario;Titulo;Copete;Seccion;Link
Infobae;Cómo imaginaba Steve Jobs una inteligencia artificial en los 80?s;El fundador de Apple creía que se podía almacenar la información de toda la vida en una máquina que aprende;Tecno;https://www.infobae.com/tecno/2023/05/08/como-imaginaba-steve-jobs-una-inteligencia-artificial-en-los-80s/
Infobae;Inteligencia artificial imita a Michael Jackson cantando “Peaches” de Super Mario;El tema tuvo que ser eliminado de YouTube por infracciones a los derechos de autor;Tecno;https://www.infobae.com/tecno/2023/05/08/inteligencia-artificial-imita-la-voz-de-michael-jackson-cantando-peaches-de-super-mario/
Infobae;Cómo revisar el historial de páginas web desde un router;El registro solo muestra direcciones IP para proteger la privacidad de los usuarios conectados a una red Wi-Fi;Tecno;https://www.infobae.com/tecno/2023/05/07/como-revisar-el-historial-de-paginas-web-desde-un-router/
Infobae;Chayanne reaparece con realidad aumentada en el mes de la Madre usando Snapchat;El mensaje puede grabarse para todas las mamás desde celulares iPhone o Android;Tecno;https://www.infobae.com/tecno/2023/05/07/chayanne-reaparece-con-realidad-aumentada-en-el-mes-de-la-madre-usando-snapchat/
Infobae;Hackers filtran información del gobierno, empresas y ciudadanos mexicanos en foros clandestinos;Los cibercriminales venden los datos y ganar dinero o los usan para generar más ataques;Tecno;https://www.infobae.com/tecno/2023/05/07/hackers-filtran-informacion-del-gobierno-empresas-y-ciudadanos-mexicanos-en-foros-clandestinos/
Infobae;Cuatro juegos de Google que usan inteligencia artificial;Los jugadores podrán adivinar palabras, objetos y lugares usando imágenes creadas por IA;Tecno;https://www.infobae.com/tecno/2023/05/07/cuatro-juegos-de-google-que-usan-inteligencia-artificial/
Infobae;Este es el primer celular plegable de Google, Pixel Fold;En el Google I/O se presentarán los detalles del dispositivo ;Tecno;https://www.infobae.com/tecno/2023/05/07/este-es-el-primer-celular-plegable-de-google-pixel-fold/
Infobae;Cómo cambiar la voz de Siri;El asistente de voz de Apple cuenta con 21 idiomas y puede configurarse en todos los dispositivos;Tecno;https://www.infobae.com/tecno/2023/05/07/como-cambiar-la-voz-de-siri/
Infobae;La revolución imparable de la inteligencia artificial transformará la industria del entretenimiento como nunca antes;El avance constante de la IA promete cambiar radicalmente la forma en que experimentamos y comprendemos el sector audiovisual, alterando tanto la producción como el consumo de contenidos;Estados Unidos;https://www.infobae.com/estados-unidos/2023/05/07/la-revolucion-imparable-de-la-inteligencia-artificial-transformara-la-industria-del-entretenimiento-como-nunca-antes/
La Nacion;Más de US$10.000 millones: crecen las deudas por importaciones del sector privado y muestran otra debilidad argentina;Las consultoras privadas calculan que las reservas netas del Banco Central ya son negativas en US$1000 millones, el peor registro desde la salida de la Convertibilidad;Economia;https://www.lanacion.com.ar/economia/mas-de-us10000-millones-crecen-las-deudas-por-importaciones-del-sector-privado-y-muestran-otra-nid08052023/
La Nacion;Quién ganó en las elecciones 2023 en La Rioja;Ricardo Quintela se impuso en los comicios con el 50,63% de los votos, cuando ya se habían escrutado el 90,57% de las mesas y fue reelecto gobernador de la provincia;Politica;https://www.lanacion.com.ar/politica/quien-gano-en-las-elecciones-2023-en-la-rioja-nid08052023/
La Nacion;Quién ganó las elecciones 2023 a gobernador en Misiones;"Con el 98,78% de las mesas escrutadas, Hugo Passalacqua se impuso con un 64,27%; el candidato del Frente Renovador de la Concordia volverá a gobernar la provincia como lo hizo entre 2015 y 2019";Politica;https://www.lanacion.com.ar/politica/quien-gano-las-elecciones-2023-a-gobernador-en-misiones-nid08052023/
La Nacion;Patricia Bullrich les contestó a Alberto Fernández y Cristina Kirchner: “Ya no saben que inventar”;"La precandidata a presidenta de la Nación uso Twitter para responder la denuncia en su contra; “Conmigo, El 10 de diciembre el kirchnerismo se acaba”, señaló";Politica;https://www.lanacion.com.ar/politica/patricia-bullrich-le-contesto-a-alberto-fernandez-y-cristina-kirchner-ya-no-saben-que-inventar-nid08052023/
La Nacion;Sergio Massa hace equilibrio entre los ganadores del domingo electoral en una semana clave para destrabar la ayuda de EE.UU. y Brasil;El ministro de Economía saludó a los triunfadores de La Rioja, Misiones y Jujuy y en su entorno se jactan de tener buen vínculo con todos;Politica;https://www.lanacion.com.ar/politica/sergio-massa-hace-equilibrio-entre-los-ganadores-del-domingo-electoral-en-una-semana-clave-para-nid08052023/
La Nacion;El doble juego de Tolosa Paz: entre el desafío a Kicillof y la búsqueda de posicionamiento en medio de la incertidumbre;"La ministra tiene un armado propio e insinúa intenciones de competir en las PASO provinciales; en el peronismo, muchos creen que solo intenta instalarse pero no retará al gobernador";Politica;https://www.lanacion.com.ar/politica/el-doble-juego-de-tolosa-paz-entre-el-desafio-a-kicillof-y-la-busqueda-de-posicionamiento-en-medio-nid08052023/
La Nacion;Feliz domingo para todos, menos para Milei;Los resultados electorales llaman a sopesar los sondeos que muestran una curva ascendente para la ultraderecha libertaria;Politica;https://www.lanacion.com.ar/politica/feliz-domingo-para-todos-menos-para-milei-nid08052023/
La Nacion;Gerardo Morales obtuvo una aplastante victoria en Jujuy y toma impulso para la pelea presidencial en Juntos por el Cambio;"El candidato apalancado por el jefe de la UCR, Carlos Sadir, consiguió una victoria contundente en la provincia frente a un peronismo divido; Larreta y Lousteau lo acompañaron en los festejos";Politica;https://www.lanacion.com.ar/politica/gerardo-morales-obtiene-una-aplastante-victoria-en-jujuy-y-toma-impulso-para-la-pelea-presidencial-nid07052023/
La Nacion;El municipio de Merlo contrató a Ángela Leiva y Daniel Agostini por $12.000.000 para que canten en una feria local;El gasto salió de las arcas municipales y fue autorizado por la intendenta Karina Menéndez, la hermana del kirchnerista Gustavo Menéndez;Politica;https://www.lanacion.com.ar/politica/el-municipio-de-merlo-contrato-a-angela-leiva-y-daniel-agostini-por-12000000-para-que-canten-en-una-nid07052023/
